# x1 x2 x3 x4 x5 x6 x7 x8 x9
# 23331 9
# 11 21 101 9
 3.69450688e-01 -2.00000000e-01 -1.00000000e-01  6.48821825e-01 -5.49119578e-01 -1.00000000e-01  7.57714129e-02 -6.41279817e-02  1.04614370e+00
 3.76048022e-01 -2.00000000e-01 -1.00000000e-01  6.52259213e-01 -5.45032102e-01 -1.00000000e-01  7.61727814e-02 -6.36506378e-02  1.04614360e+00
 3.82645356e-01 -2.00000000e-01 -1.00000000e-01  6.55670858e-01 -5.40923099e-01 -1.00000000e-01  7.65711326e-02 -6.31706882e-02  1.04614338e+00
 3.89242689e-01 -2.00000000e-01 -1.00000000e-01  6.59056610e-01 -5.36792751e-01 -1.00000000e-01  7.69665224e-02 -6.26882040e-02  1.04614319e+00
 3.95840023e-01 -2.00000000e-01 -1.00000000e-01  6.62416347e-01 -5.32641207e-01 -1.00000000e-01  7.73590280e-02 -6.22033531e-02  1.04614340e+00
 4.02437356e-01 -2.00000000e-01 -1.00000000e-01  6.65749942e-01 -5.28468625e-01 -1.00000000e-01  7.77484505e-02 -6.17161155e-02  1.04614365e+00
 4.09034690e-01 -2.00000000e-01 -1.00000000e-01  6.69057236e-01 -5.24275202e-01 -1.00000000e-01  7.81347510e-02 -6.12264754e-02  1.04614386e+00
 4.15632024e-01 -2.00000000e-01 -1.00000000e-01  6.72338134e-01 -5.20061060e-01 -1.00000000e-01  7.85179071e-02 -6.07344093e-02  1.04614396e+00
 4.22229358e-01 -2.00000000e-01 -1.00000000e-01  6.75592473e-01 -5.15826408e-01 -1.00000000e-01  7.88978876e-02 -6.02399041e-02  1.04614388e+00
 4.28826692e-01 -2.00000000e-01 -1.00000000e-01  6.78820149e-01 -5.11571382e-01 -1.00000000e-01  7.92746675e-02 -5.97429389e-02  1.04614357e+00
 4.35424025e-01 -2.00000000e-01 -1.00000000e-01  6.82021032e-01 -5.07296151e-01 -1.00000000e-01  7.96482786e-02 -5.92435482e-02  1.04614310e+00
 4.42021359e-01 -2.00000000e-01 -1.00000000e-01  6.85194965e-01 -5.03000928e-01 -1.00000000e-01  8.00189064e-02 -5.87419057e-02  1.04614300e+00
 4.48618693e-01 -2.00000000e-01 -1.00000000e-01  6.88341880e-01 -4.98685800e-01 -1.00000000e-01  8.03865413e-02 -5.82379964e-02  1.04614323e+00
 4.55216027e-01 -2.00000000e-01 -1.00000000e-01  6.91461616e-01 -4.94350993e-01 -1.00000000e-01  8.07511162e-02 -5.77318083e-02  1.04614368e+00
